,Ten,Gia ,Link
78,Sách - Trọn bộ 2 tập Toái Ngọc Đầu Châu - Bắc Nam,"₫223,270",https://www.lazada.vn/products/sach-tron-bo-2-tap-toai-ngoc-dau-chau-bac-nam-i1664855201.html
79,Fahasa - Thiên Quan Tứ Phúc - Tập 4,"₫128,300",https://www.lazada.vn/products/fahasa-thien-quan-tu-phuc-tap-4-i1657093856.html
80,Sách - Lên lớp không được đọc tiểu thuyết [Nhã Nam],"₫96,000",https://www.lazada.vn/products/sach-len-lop-khong-duoc-doc-tieu-thuyet-nha-nam-i1205677146.html
81,sách - Tiểu Thuyết Đam Mỹ - Quý Ngài Định Kiến - Khưu Trì,"₫44,000",https://www.lazada.vn/products/sach-tieu-thuyet-dam-my-quy-ngai-dinh-kien-khuu-tri-i2065723324.html
82,Sách - Thất Tịch Không Mưa| - Tái Bản 2018,"₫215,200",https://www.lazada.vn/products/sach-that-tich-khong-mua-tai-ban-2018-i1279463193.html
83,Sách - Thọ Mệnh Thế Giới Và Bảy Ngày Đầu Tiên,"₫31,200",https://www.lazada.vn/products/sach-tho-menh-the-gioi-va-bay-ngay-dau-tien-i1279316830.html
84,Sách - Combo 3 cuốn Từ điển tiếng em - Vui vẻ không quạu - Một cuốn sách buồn ... cười [AZVietNam],"₫156,870",https://www.lazada.vn/products/sach-combo-3-cuon-tu-dien-tieng-em-vui-ve-khong-quau-mot-cuon-sach-buon-cuoi-azvietnam-i1334940598.html
85,Sách - Đoạn Tuyệt - Nhất Linh,"₫100,000",https://www.lazada.vn/products/sach-doan-tuyet-nhat-linh-i1484113842.html
86,Me Before You: A Novel (Movie Tie-In),"₫99,000",https://www.lazada.vn/products/me-before-you-a-novel-movie-tie-in-i1920380896.html
87,Fahasa - Nguyệt Thượng Trùng Hỏa,"₫110,400",https://www.lazada.vn/products/fahasa-nguyet-thuong-trung-hoa-i741922418.html
88,Fahasa - Thiên Quan Tứ Phúc - Tập 6,"₫103,500",https://www.lazada.vn/products/fahasa-thien-quan-tu-phuc-tap-6-i1997567422.html
89,Fahasa - Gần Mặt Cách Lòng,"₫279,000",https://www.lazada.vn/products/fahasa-gan-mat-cach-long-i1272706355.html
90,Fahasa - Thiên Quan Tứ Phúc - Tập 2 (Tái Bản 2021),"₫289,000",https://www.lazada.vn/products/fahasa-thien-quan-tu-phuc-tap-2-tai-ban-2021-i1630333157.html
91,Tớ thích cậu hơn cả Harvard,"₫75,000",https://www.lazada.vn/products/to-thich-cau-hon-ca-harvard-i1954111002.html
92,Fahasa - Dior Tiên Sinh (Bộ 2 Tập),"₫131,040",https://www.lazada.vn/products/fahasa-dior-tien-sinh-bo-2-tap-i1236043297.html
93,Fahasa - Thiên Quan Tứ Phúc - Tập 1 (Tái Bản),"₫131,040",https://www.lazada.vn/products/fahasa-thien-quan-tu-phuc-tap-1-tai-ban-i1913677154.html
94,Fahasa - Chờ Em Lớn Nhé Được Không? (Tái Bản),"₫254,150",https://www.lazada.vn/products/fahasa-cho-em-lon-nhe-duoc-khong-tai-ban-i1599981169.html
95,"Fahasa - Một Nửa Ngọt Ngào, Một Nửa Đau Thương","₫200,000",https://www.lazada.vn/products/fahasa-mot-nua-ngot-ngao-mot-nua-dau-thuong-i1452143130.html
96,Fahasa - Quỷ Giá,"₫115,000",https://www.lazada.vn/products/fahasa-quy-gia-i1974512224.html
97,Sách - Light Novel - Kẻ dị biệt tại trường học phép thuật (Tập 1) - Nhã Nam HCM,"₫211,650",https://www.lazada.vn/products/sach-light-novel-ke-di-biet-tai-truong-hoc-phep-thuat-tap-1-nha-nam-hcm-i1448687014.html
98,Sách - Trâm (Tập 2) - Kẻ yểu mệnh (TB 2021) - Nhã Nam HCM,"₫96,000",https://www.lazada.vn/products/sach-tram-tap-2-ke-yeu-menh-tb-2021-nha-nam-hcm-i1434253474.html
99,Hãy Nhắm Mắt Khi Anh Đến (Trọn Bộ 2 Tập),"₫52,500",https://www.lazada.vn/products/sach-tieu-thuyet-lang-man-dinh-menh-duoi-mua-toi-nhu-anh-duong-rang-ro-gio-tay-bao-nhieu-han-thoi-chang-gian-may-chau-ta-thuoc-ve-nhau-phu-sinh-co-mo-trieu-tich-xin-loi-em-chi-la-con-di-le-tuy-chon-i1926440626.html
100,Sách - Tiểu thuyết ngôn tình: Cảm Ơn Bác Sĩ (Kèm Bookmark) - Sênh Ly,"₫151,000",https://www.lazada.vn/products/sach-tieu-thuyet-ngon-tinh-cam-on-bac-si-kem-bookmark-senh-ly-i1940831773.html
101,"Sách - Tiểu thuyết ngôn tình - lãng mạn : Hãy Để Tôi Một Mình, Cả Giới Giải Trí Đang Chờ Chúng Ta Ly Hôn (Bộ 2q), Anh Yêu Em Rồi Phải Không (Bộ 2q), Thương Được Cứ Thương Đi, Anh có thiếu người yêu không?... (lẻ tùy chọn","₫71,000",https://www.lazada.vn/products/sach-tieu-thuyet-ngon-tinh-lang-man-hay-de-toi-mot-minh-ca-gioi-giai-tri-dang-cho-chung-ta-ly-hon-bo-2q-anh-yeu-em-roi-phai-khong-bo-2q-thuong-duoc-cu-thuong-di-anh-co-thieu-nguoi-yeu-khong-le-tuy-chon-i1926694301.html
102,Sách - Tập 1 Viên Tiên Sinh Luôn Không Vui - Từ Từ Đồ Chi,"₫151,050",https://www.lazada.vn/products/sach-tap-1-vien-tien-sinh-luon-khong-vui-tu-tu-do-chi-i1954708646.html
103,"Sách - Từ Điển Tiếng ""Em""","₫54,000",https://www.lazada.vn/products/sach-tu-dien-tieng-em-i1279241930.html
104,Sách - Không Kịp Nói Yêu Em - Phỉ Ngã Tư Tồn Tái Bản 2020,"₫111,200",https://www.lazada.vn/products/sach-khong-kip-noi-yeu-em-phi-nga-tu-ton-tai-ban-2020-i1279345785.html
105,Sách - Tuổi Thơ Dữ Dội ( Tập 2 ),"₫64,000",https://www.lazada.vn/products/sach-tuoi-tho-du-doi-tap-2-i1240570982.html
106,Sách -Gió Lạnh Đầu Mùa (Thạch Lam ),"₫30,000",https://www.lazada.vn/products/sach-gio-lanh-dau-mua-thach-lam-i1240819071.html
107,Sách - Hồ Ly Biết Yêu - Diệp Lạc Vô Tâm| - Bản Thường,"₫89,000",https://www.lazada.vn/products/sach-ho-ly-biet-yeu-diep-lac-vo-tam-ban-thuong-i1279465176.html
108,Sách - Hẹn Đẹp Như Mơ - Phỉ Ngã Tư Tồn,"₫115,000",https://www.lazada.vn/products/sach-hen-dep-nhu-mo-phi-nga-tu-ton-i1279351718.html
109,Sách - Di Sản Kinh Hoàng,"₫101,000",https://www.lazada.vn/products/sach-di-san-kinh-hoang-i1240673877.html
110,Kỳ Án Ánh Trăng (Phiên bản mới),"₫75,776",https://www.lazada.vn/products/ky-an-anh-trang-phien-ban-moi-i1476165180.html
111,Sách - Chuyện Lạ Ở Bệnh Viện Tư Nhân Hiệp Tế Đường Đồng Hoa Trung - Bản Thường,"₫149,000",https://www.lazada.vn/products/sach-chuyen-la-o-benh-vien-tu-nhan-hiep-te-duong-dong-hoa-trung-ban-thuong-i1279516111.html
112,Sách - Cả Giới Giải Trí Đang Chờ Chúng Ta Ly Hôn Trọn Bộ 2 Tập - Ma An,"₫200,000",https://www.lazada.vn/products/sach-ca-gioi-giai-tri-dang-cho-chung-ta-ly-hon-tron-bo-2-tap-ma-an-i1279273919.html
113,Sách - Nơi Nào Đông Ấm Nơi Nào Hạ Mát ( Tái Bản ),"₫102,000",https://www.lazada.vn/products/sach-noi-nao-dong-am-noi-nao-ha-mat-tai-ban-i1240763072.html
114,Sách - Cái Tên Khắc Sâu Trong Tim Người - DiFer,"₫107,970",https://www.lazada.vn/products/sach-cai-ten-khac-sau-trong-tim-nguoi-difer-i1804651707.html
115,Sách - Vụng Trộm Yêu Anh (Bộ 2 Tập) - Trúc Dĩ,"₫249,000",https://www.lazada.vn/products/sach-vung-trom-yeu-anh-bo-2-tap-truc-di-i1525754718.html
116,Sách ĐAM MỸ - Hàng Ma Tháp - CÔNG TỬ HOAN HỈ,"₫120,350",https://www.lazada.vn/products/sach-dam-my-hang-ma-thap-cong-tu-hoan-hi-i2061074848.html
117,Sách - Thư Viện Kỳ Lạ - Haruki Murakami,"₫95,000",https://www.lazada.vn/products/sach-thu-vien-ky-la-haruki-murakami-i1279349766.html
118,Sách - Quan Hệ Nguy Hiểm Tái Bản,"₫92,000",https://www.lazada.vn/products/sach-quan-he-nguy-hiem-tai-ban-i1279330866.html
119,Sách - Nhiệt Độ Xã Giao - Carbeeq,"₫89,380",https://www.lazada.vn/products/sach-nhiet-do-xa-giao-carbeeq-i1279428040.html
120,"Sách - Tiểu thuyết lãng mạn: Cảm Ơn Bác Sĩ, Đường Gia Tiểu Miêu, Anh Yêu Em Rồi Phải Không, Kế Hoạch Cưa Lại Bạn Gái, Cả Giới Giải Trí Đang Chờ Chúng Ta Ly Hôn... (Lẻ tùy chọn)","₫96,000",https://www.lazada.vn/products/sach-tieu-thuyet-lang-man-cam-on-bac-si-duong-gia-tieu-mieu-anh-yeu-em-roi-phai-khong-ke-hoach-cua-lai-ban-gai-ca-gioi-giai-tri-dang-cho-chung-ta-ly-hon-le-tuy-chon-i1941504092.html
121,Sách - Tiểu Thuyết Ngày Mới Và Hà Nội 36 Phố Phường ĐỐNG ĐA,"₫44,000",https://www.lazada.vn/products/sach-tieu-thuyet-ngay-moi-va-ha-noi-36-pho-phuong-dong-da-i1240783258.html
122,Sách tiểu thuyết Đam mỹ - Trọn bộ 2 tập Vừa Tỉnh Dậy Thì Nghe Nói Tôi Kết Hôn Rồi - Mộc Qua Hoàng,"₫215,200",https://www.lazada.vn/products/sach-tieu-thuyet-dam-my-tron-bo-2-tap-vua-tinh-day-thi-nghe-noi-toi-ket-hon-roi-moc-qua-hoang-i2005046896.html
123,NXBHCM - Sách Chân Dung Dorian Gray - Tiểu thuyết,"₫31,200",https://www.lazada.vn/products/nxbhcm-sach-chan-dung-dorian-gray-tieu-thuyet-i2041236536.html
124,"Sách Tiểu Thuyết Đam Mỹ - Naughty Babe – Em Bướng, Lại Cho Là Em Quậy - Bambam","₫156,870",https://www.lazada.vn/products/sach-tieu-thuyet-dam-my-naughty-babe-em-buong-lai-cho-la-em-quay-bambam-i2074313672.html
125,SÁCH - Tiểu Thuyết HẬU CUNG NHƯ Ý TRUYỆN - Lưu Liễm Tử ( TRỌN BỘ),"₫100,000",https://www.lazada.vn/products/sach-tieu-thuyet-hau-cung-nhu-y-truyen-luu-liem-tu-tron-bo-i2065593777.html
126,"Sách - Tiểu thuyết lãng mạn: Định Mệnh Dưới Mưa, Hoa Hải Đường Chưa Ngủ - Yên La, Nở Tàn Biên Niên Ký, Ngỡ Chỉ Là Thoáng Qua Mà Một Đời Thương Nhớ, Về Ngang Quán Không, Có Anh Em Không Cô Đơn... (lẻ tùy chọn)","₫99,000",https://www.lazada.vn/products/sach-tieu-thuyet-lang-man-dinh-menh-duoi-mua-hoa-hai-duong-chua-ngu-yen-la-no-tan-bien-nien-ky-ngo-chi-la-thoang-qua-ma-mot-doi-thuong-nho-ve-ngang-quan-khong-co-anh-em-khong-co-don-le-tuy-chon-i1933830077.html
127,"Sách - Cảm Ơn Bác Sĩ, Đường Gia Tiểu Miêu, Tần Số Của Chúng Ta, Một Đời Tự Tại - tiểu thuyết lãng mạn (Lẻ tùy chọn)","₫110,400",https://www.lazada.vn/products/sach-cam-on-bac-si-duong-gia-tieu-mieu-tan-so-cua-chung-ta-mot-doi-tu-tai-tieu-thuyet-lang-man-le-tuy-chon-i1952386473.html
